,Year,Exports
1,1996,1170.504
2,1997,1269.848
3,1998,1378.671
4,1999,1536.025
5,2000,1909.391
6,2001,2045.921
7,2002,2455.365
8,2003,2748.953
9,2004,3475.747
10,2005,4391.15
11,2006,5520.65
12,2007,6197.286
13,2008,8409.359
14,2009,7985.091
15,2010,10284.62
16,2011,14104.24
17,2012,15832.51
18,2013,18439.66
19,2014,19670.8
20,2015,17160.62
21,2016,17758.97
22,2017,19459.78
23,2018,22228.36
24,2019,22828.72
25,2020,20471.59
26,2021,29332.47
27,2022,35657.54
28,2023,35714.6
29,2024,37067.78
30,2025,
