,Year,GDP
1,1997.0,608093.5
2,1998.0,644683.9
3,1999.0,689324.5
4,2000.0,728354.6
5,2001.0,756637.5
6,2002.0,791449.3
7,2003.0,845814.2
8,2004.0,911152.4
9,2005.0,993306.1
10,2006.0,1086039.0
11,2007.0,1195209.0
12,2008.0,1269547.0
13,2009.0,1334473.0
14,2010.0,1480055.0
15,2011.0,1595095.0
16,2012.0,1687476.0
17,2013.0,1791203.0
18,2014.0,1916714.0
19,2015.0,2060492.0
20,2016.0,2246004.0
21,2017.0,2383280.0
22,2018.0,2556453.0
23,2019.0,2673906.0
24,2020.0,2510261.0
25,2021.0,2749380.0
26,2022.0,2942618.0
27,2023.0,3150165.0
28,2024.0,3377677.0
29,2025.0,3630711.0
30,2026.0,
